"Indeksi cen življenjskih potrebščin (ECOICOP) po: ŽIVLJENJSKE POTREBŠČINE, MESEC ,  MERITVE",,,
,,,
,,Povprečna 12-mesečna rast,
SKUPAJ,2000M01,...,
,2000M02,...,
,2000M03,...,
,2000M04,...,
,2000M05,...,
,2000M06,...,
,2000M07,...,
,2000M08,...,
,2000M09,...,
,2000M10,...,
,2000M11,...,
,2000M12,...,
,2001M01,...,
,2001M02,...,
,2001M03,...,
,2001M04,...,
,2001M05,...,
,2001M06,...,
,2001M07,...,
,2001M08,...,
,2001M09,...,
,2001M10,...,
,2001M11,...,
,2001M12,...,
,2002M01,108.4,
,2002M02,108.3,
,2002M03,108.2,
,2002M04,108.2,
,2002M05,108.0,
,2002M06,107.8,
,2002M07,107.7,
,2002M08,107.6,
,2002M09,107.5,
,2002M10,107.5,
,2002M11,107.5,
,2002M12,107.5,
,2003M01,107.3,
,2003M02,107.2,
,2003M03,107.0,
,2003M04,106.8,
,2003M05,106.6,
,2003M06,106.5,
,2003M07,106.4,
,2003M08,106.3,
,2003M09,106.1,
,2003M10,105.9,
,2003M11,105.8,
,2003M12,105.5,
,2004M01,105.3,
,2004M02,105.1,
,2004M03,104.9,
,2004M04,104.7,
,2004M05,104.6,
,2004M06,104.4,
,2004M07,104.2,
,2004M08,104.1,
,2004M09,104.0,
,2004M10,103.8,
,2004M11,103.7,
,2004M12,103.6,
,2005M01,103.4,
,2005M02,103.4,
,2005M03,103.3,
,2005M04,103.3,
,2005M05,103.1,
,2005M06,102.9,
,2005M07,102.8,
,2005M08,102.7,
,2005M09,102.7,
,2005M10,102.7,
,2005M11,102.5,
,2005M12,102.4,
,2006M01,102.5,
,2006M02,102.4,
,2006M03,102.3,
,2006M04,102.3,
,2006M05,102.4,
,2006M06,102.5,
,2006M07,102.5,
,2006M08,102.6,
,2006M09,102.5,
,2006M10,102.4,
,2006M11,102.4,
,2006M12,102.5,
,2007M01,102.5,
,2007M02,102.5,
,2007M03,102.5,
,2007M04,102.5,
,2007M05,102.5,
,2007M06,102.6,
,2007M07,102.7,
,2007M08,102.8,
,2007M09,102.8,
,2007M10,103.1,
,2007M11,103.4,
,2007M12,103.7,
,2008M01,104.0,
,2008M02,104.3,
,2008M03,104.7,
,2008M04,105.0,
,2008M05,105.3,
,2008M06,105.6,
,2008M07,105.8,
,2008M08,106.0,
,2008M09,106.2,
,2008M10,106.2,
,2008M11,106.0,
,2008M12,105.6,
,2009M01,105.2,
,2009M02,104.9,
,2009M03,104.4,
,2009M04,104.0,
,2009M05,103.5,
,2009M06,103.0,
,2009M07,102.3,
,2009M08,101.8,
,2009M09,101.4,
,2009M10,101.0,
,2009M11,100.9,
,2009M12,100.8,
,2010M01,100.8,
,2010M02,100.8,
,2010M03,100.7,
,2010M04,100.8,
,2010M05,100.9,
,2010M06,101.1,
,2010M07,101.3,
,2010M08,101.5,
,2010M09,101.7,
,2010M10,101.8,
,2010M11,101.8,
,2010M12,101.8,
,2011M01,101.8,
,2011M02,101.8,
,2011M03,101.9,
,2011M04,101.8,
,2011M05,101.8,
,2011M06,101.8,
,2011M07,101.7,
,2011M08,101.6,
,2011M09,101.6,
,2011M10,101.7,
,2011M11,101.8,
,2011M12,101.8,
,2012M01,101.8,
,2012M02,102.0,
,2012M03,102.0,
,2012M04,102.1,
,2012M05,102.1,
,2012M06,102.2,
,2012M07,102.3,
,2012M08,102.5,
,2012M09,102.6,
,2012M10,102.6,
,2012M11,102.5,
,2012M12,102.6,
,2013M01,102.6,
,2013M02,102.6,
,2013M03,102.6,
,2013M04,102.5,
,2013M05,102.4,
,2013M06,102.3,
,2013M07,102.3,
,2013M08,102.3,
,2013M09,102.1,
,2013M10,102.0,
,2013M11,101.9,
,2013M12,101.8,
,2014M01,101.6,
,2014M02,101.4,
,2014M03,101.3,
,2014M04,101.2,
,2014M05,101.2,
,2014M06,101.1,
,2014M07,100.9,
,2014M08,100.6,
,2014M09,100.5,
,2014M10,100.4,
,2014M11,100.2,
,2014M12,100.2,
,2015M01,100.1,
,2015M02,100.0,
,2015M03,100.0,
,2015M04,99.9,
,2015M05,99.8,
,2015M06,99.7,
,2015M07,99.6,
,2015M08,99.6,
,2015M09,99.6,
,2015M10,99.5,
,2015M11,99.5,
,2015M12,99.5,
,2016M01,99.5,
,2016M02,99.4,
,2016M03,99.4,
,2016M04,99.4,
,2016M05,99.4,
,2016M06,99.5,
,2016M07,99.6,
,2016M08,99.6,
,2016M09,99.7,
,2016M10,99.8,
,2016M11,99.9,
,2016M12,99.9,
,2017M01,100.1,
,2017M02,100.3,
,2017M03,100.6,
,2017M04,100.8,
,2017M05,100.9,
,2017M06,101.0,
,2017M07,101.1,
,2017M08,101.1,
,2017M09,101.2,
,2017M10,101.3,
,2017M11,101.3,
,2017M12,101.4,
,2018M01,101.4,
,2018M02,101.4,
,2018M03,101.3,
,2018M04,101.3,
,2018M05,101.3,
,2018M06,101.4,
,2018M07,101.5,
,2018M08,101.5,
,2018M09,101.6,
,2018M10,101.7,
,2018M11,101.8,
,2018M12,101.7,
,2019M01,101.7,
,2019M02,101.7,
,2019M03,101.7,
,2019M04,101.8,
,2019M05,101.7,
,2019M06,101.7,
,2019M07,101.7,
,2019M08,101.7,
,2019M09,101.7,
,2019M10,101.6,
,2019M11,101.6,
,2019M12,101.6,
,2020M01,101.7,
,2020M02,101.8,
,2020M03,101.7,
,2020M04,101.4,
,2020M05,101.2,
,2020M06,101.0,
,2020M07,100.9,
,2020M08,100.7,
,2020M09,100.5,
,2020M10,100.4,
,2020M11,100.2,
,2020M12,99.9,
,2021M01,99.7,
,2021M02,99.5,
,2021M03,99.4,
,2021M04,99.7,
,2021M05,100.0,
,2021M06,100.1,
,2021M07,100.3,
,2021M08,100.5,
,2021M09,100.7,
,2021M10,101.0,
,2021M11,101.4,
,2021M12,101.9,
,2022M01,102.4,
,2022M02,103.1,
,2022M03,103.5,
,2022M04,104.0,
,2022M05,104.5,
,2022M06,105.2,
,2022M07,106.0,
,2022M08,106.7,
,2022M09,107.4,
,2022M10,107.9,
,2022M11,108.4,
,2022M12,108.8,
,2023M01,109.2,
