izdelek,2018,2019,2020,2021,2022,2023,2024,kategorija
Riž  beli (kg),2.07,2.02,2.05,2.13,2.32,2.68,2.59, KRUH IN IZDELKI IZ ŽIT
Moka pšenična(kg),0.66,0.66,0.72,0.74,0.92,0.91,0.87, KRUH IN IZDELKI IZ ŽIT
Kruh (bel polbel črn) (kg),2.13,2.27,2.42,2.37,2.87,3.3,3.42, KRUH IN IZDELKI IZ ŽIT
Testenine (kg),2.58,2.34,2.49,2.62,3.1,3.34,3.27, KRUH IN IZDELKI IZ ŽIT
Kosmiči za zajtrk (kg),5,5.18,5.19,5.06,5.7,6.29,6.61, KRUH IN IZDELKI IZ ŽIT
Meso  goveje brez kosti (kg),7.3,7.95,8.5,9.2,9.59,10.1,10.75, MESO
Meso  goveje s kostjo (kg),5.25,5.56,6.27,6.58,7.46,8.55,9.82, MESO
Meso  svinjsko s kostjo (kg),4.62,4.8,5.82,5.22,5.44,5.27,4.96, MESO
Meso  piščančje brez kosti (kg),7.27,7.47,7.92,7.98,8.62,8.55,8.27, MESO
Meso  mleto mešano (kg),5.05,5.39,6.62,6.46,7.05,7.33,6.8, MESO
Mleko trajno polnomastno (l),0.74,0.74,0.77,0.76,1,1.16,1.12, MLEKO SIR IN JAJCA
Jogurt (kg),2.12,2.27,2.25,2.36,2.57,2.75,2.72, MLEKO SIR IN JAJCA
Sir (kg),7.57,7.97,8.36,8.72,11.12,10.54,10.41, MLEKO SIR IN JAJCA
Skuta (kg),3.81,3.88,3.94,4.04,4.45,5.07,5.04, MLEKO SIR IN JAJCA
Jajca (10 kosov),1.67,1.64,1.8,2.02,2.09,2.39,2.38, MLEKO SIR IN JAJCA
Maslo (kg),8.11,8.38,8.44,8.44,10.05,10.1,10.02, OLJE IN MAŠČOBE
Olje  olivno (l),7.76,7.29,7.34,7.66,7.75,9.21,13.82, OLJE IN MAŠČOBE
Olje  jedilno (l),1.4,1.35,1.39,1.67,2.6,2.04,1.55, OLJE IN MAŠČOBE
Limone (kg),2.07,1.79,2.03,1.77,1.85,1.88,1.89, SADJE
Pomaranče (kg),1.24,1.12,1.4,1.33,1.46,1.52,1.5, SADJE
Jabolka (kg),1.35,1.13,1.53,1.43,1.51,1.45,1.49, SADJE
