country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,100,101.77,104.03,106.44,107.77,108.23,111.71,123.26,126.07,131.52
Bulgaria,100,98.68,99.85,102.48,104.99,106.27,109.3,123.52,134.15,137.63
Czechia,100,100.7,103.1,105.1,107.8,111.4,115.1,132.1,147.9,151.9
Denmark,100,100.0,101.1,101.8,102.5,102.9,104.9,113.8,117.6,119.1
Germany,100,100.4,102.1,104.0,105.5,105.8,109.2,118.7,125.9,129
Estonia,100,100.8,104.48,108.05,110.5,109.8,114.72,137.03,149.52,155.1
Ireland,100,99.8,100.1,100.8,101.7,101.2,103.6,112,117.8,119.4
Greece,100,100.02,101.15,101.94,102.46,101.17,101.75,111.21,115.84,119.31
Spain,100,99.66,101.69,103.46,104.26,103.91,107.04,115.95,119.89,123.33
France,100,100.31,101.47,103.6,104.95,105.5,107.68,114.04,120.5,123.29
Croatia,100,99.37,100.67,102.23,103.04,103.06,105.82,117.11,126.94,132.04
Italy,100,99.9,101.3,102.5,103.2,103,105,114.2,120.9,122.3
Cyprus,100,98.78,99.45,100.23,100.78,99.67,101.92,110.17,114.5,117.09
Latvia,100,100.1,103.0,105.63,108.53,108.62,112.14,131.47,143.38,145.32
Lithuania,100,100.68,104.42,107.07,109.47,110.63,115.75,137.57,149.52,150.79
Luxembourg,100,100.04,102.15,104.21,105.93,105.93,109.61,118.55,122.02,124.77
Hungary,100,100.45,102.84,105.84,109.46,113.15,119.04,137.22,160.59,166.56
Malta,100,100.9,102.18,103.95,105.54,106.37,107.12,113.69,120.01,122.94
Netherlands,100,100.11,101.4,103.02,105.78,106.96,109.98,122.78,127.81,131.92
Austria,100,100.97,103.22,105.41,106.98,108.47,111.46,121.07,130.4,134.21
Poland,100,99.8,101.4,102.6,104.8,108.6,114.3,129.4,143.5,148.7
Portugal,100,100.64,102.2,103.4,103.71,103.58,104.55,113.03,118.98,122.15
Romania,100,98.93,100.0,104.08,108.15,110.67,115.21,129.06,141.64,149.91
Slovenia,100,99.85,101.4,103.36,105.11,104.82,106.97,116.94,125.38,127.87
Slovakia,100,99.52,100.9,103.46,106.33,108.47,111.53,125.05,138.79,143.17
Finland,100,100.39,101.23,102.42,103.58,103.98,106.12,113.74,118.67,119.83
Sweden,100,101.14,103.02,105.12,106.93,107.63,110.49,119.39,126.44,128.98
Iceland,100,100.79,99.13,99.86,101.85,103.06,106.84,112.96,121.96,127.47
Norway,100,103.9,105.8,109.0,111.5,112.8,117.2,124.5,131.6,135.4
Switzerland,100,99.47,100.11,101.03,101.41,100.56,101.04,103.74,106.1,107.25
United States,100,100.57,102.34,104.55,105.99,106.8,112.5,122.27,125.94,128.5
