Title;Date;Price (€);Product Name
Hofer;31.05.2025.;3.79;Svinjsko stegno
Hofer;31.05.2025.;2.99;Tigraste kozice (250 g)
Hofer;31.05.2025.;3.49;Piščančja krila (1 kg)
Hofer;31.05.2025.;3.69;Piščančji čevapčiči in pleskavice XXL (600 g = 425 g + 175 g gratis)
Hofer;31.05.2025.;3.69;Uštipci na palčki (600 g)
Hofer;31.05.2025.;5.99;Rebra St. Louis (marinirana)
Hofer;31.05.2025.;5.49;File norveškega lososa (300 g)
Hofer;31.05.2025.;2.99;Puranje kocke (500 g)
Hofer;31.05.2025.;7.99;Marinirana slanina za žar
Hofer;31.05.2025.;3.89;Piščančji ražnjiči (450 g)
Hofer;31.05.2025.;4.29;Dimljeni losos (200 g)
Hofer;31.05.2025.;2.49;Arašidi Jumbo praženi in slani (500 g)
Hofer;31.05.2025.;2.79;Šamrole (120 g)
Hofer;31.05.2025.;2.49;Pistacije pražene in soljene ali nesoljene (250 g)
Hofer;31.05.2025.;3.89;Prosecco Treviso DOC (0,75 l)
Hofer;31.05.2025.;3.59;Domača salama (400 g)
Hofer;31.05.2025.;5.19;Bučno olje (0,5 l)
Hofer;31.05.2025.;1.19;Mlečna rezina (6 x 28 g)
Hofer;31.05.2025.;0.99;Kruh Korenina (300 g)
Hofer;31.05.2025.;1.49;Testenine Peresniki (1 kg)
Hofer;31.05.2025.;1.75;Vanilijevi rogljički (400 g)
Hofer;31.05.2025.;1.49;Marelični džem (750 g)
Hofer;31.05.2025.;1.49;Vinogradniške breskve (500 g)
Hofer;31.05.2025.;1.89;Slovenski paradižnik miks Lušt (200 g)
Lidl;31.05.2025.;5.99;Svež odojek v kosih 1kg
Lidl;31.05.2025.;4.39;Dulano trojni narezek 500g, namesto
Lidl;31.05.2025.;0.79;Paradižnik Roma 500g, namesto
Lidl;31.05.2025.;1.09;Delamaris skuša 125g, več vrst -50% na drugi kos, namesto
Lidl;31.05.2025.;0.8;Kinder Bueno White 39g 2+1 gratis, cena za kos ob nakupu 3 kosov
Lidl;31.05.2025.;1.29;Crownfield kosmiči z medom Honey Hoops 500g, namesto
