Title;Date;Price (€);Product Name
Spar in Interspar akcija za začetek tedna do 20.5.;20.05.2025.;3.24;Hrenovke Hot Dog brez ovoja, pakirano, Panvita XXL 520g 1+1 gratis
Spar in Interspar akcija za začetek tedna do 20.5.;20.05.2025.;3.49;Prve slovenske jagode, 500g
Spar in Interspar akcija za začetek tedna do 20.5.;20.05.2025.;1.99;Slovenska solata gentile kristalka 1kg
Spar in Interspar akcija za začetek tedna do 20.5.;20.05.2025.;2.99;Krompir pakirano 3,5g
Spar in Interspar akcija za začetek tedna do 13.5.;13.05.2025.;0.99;Slovenska jabolka Zlatni delišes 1kg
Spar in Interspar akcija za začetek tedna do 13.5.;13.05.2025.;1.99;Slovenska solata kristalka Gentile 1kg
Spar in Interspar akcija za začetek tedna do 13.5.;13.05.2025.;4.99;Slovenski zeleni šparglji 500g
Spar in Interspar akcija za začetek tedna do 6.5.;06.05.2025.;3.49;Piščančje prsi file IK 500g namesto
Spar in Interspar akcija za začetek tedna do 6.5.;06.05.2025.;0.99;Slovenska jabolka Idared, namesto
Spar in Interspar akcija za začetek tedna do 6.5.;06.05.2025.;0.69;Mladi krompir 1kg namesto
Spar in Interspar akcija za začetek tedna do 29.4.;29.04.2025.;1.99;Paradižnik Grapolo 1kg, namesto
Spar in Interspar akcija za začetek tedna do 29.4.;29.04.2025.;1.29;Mlado zelje 1kg, namesto
Spar in Interspar akcija za začetek tedna do 29.4.;29.04.2025.;1.49;Lubenica 1kg, namesto
Spar in Interspar akcija za začetek tedna 22.4.;22.04.2025.;3.99;Instant napitek Cedevita, več okusov 455g, namesto
Spar in Interspar akcija za začetek tedna 22.4.;22.04.2025.;1.49;Slivov paradižnik v lončku 500g, namesto
Spar in Interspar akcija za začetek tedna 22.4.;22.04.2025.;1.29;Korenje 1kg, namesto
Spar in Interspar akcija za začetek tedna 22.4.;22.04.2025.;1.49;Slovenska jabolka Topaz 1kg, namesto
Spar in Interspar akcija za začetek tedna do 15.4.;15.04.2025.;1.29;Mlado zelje 1kg, namesto
Spar in Interspar akcija za začetek tedna do 15.4.;15.04.2025.;2.99;Krompir, pakiran 3,5kg
Spar in Interspar akcija za začetek tedna do 15.4.;15.04.2025.;0.99;Slovenske jabolke idared 1kg, namesto
Spar in Interspar akcija za začetek tedna do 8.4.;08.04.2025.;1.69;Hruške Viljamovke 1kg
Spar in Interspar akcija za začetek tedna do 8.4.;08.04.2025.;0.99;Slovenska jabolka Zlatni delišes 1kg
Spar in Interspar akcija za začetek tedna do 8.4.;08.04.2025.;0.99;Nio matovilec 100g
Spar in Interspar akcija za začetek tedna do 1.4.;01.04.2025.;1.49;Slovenska jabolka Topaz 1kg, namesto
Spar in Interspar akcija za začetek tedna do 1.4.;01.04.2025.;1.49;Pomaranče Natalia 1kg, namesto
Spar in Interspar akcija za začetek tedna do 1.4.;01.04.2025.;0.79;Matovilec 100g, namesto
Spar in Interspar akcija za začetek tedna do 25.3.;25.03.2025.;1.19;Slovenska jabolka cripps pink 1kg, namesto
