store,date,product_name,regular_price,discounted_price
eurospin,2014-03-29,jagode,,85.0
eurospin,2014-03-29,korneti smetana,,19.0
eurospin,2014-03-29,posebna klobasa,,99.0
eurospin,2014-03-29,jagode,,85.0
eurospin,2014-03-29,korneti smetana,,19.0
eurospin,2014-03-29,posebna klobasa,,99.0
lidl,2014-03-29,toast šunka,,85.0
lidl,2014-03-29,štefani pečenka,,79.0
lidl,2014-03-29,skuta,,45.0
lidl,2014-03-29,kava Minas,,55.0
lidl,2014-03-29,ananas po super ceni,,19.0
lidl,2014-03-29,toast šunka,,85.0
lidl,2014-03-29,štefani pečenka,,79.0
lidl,2014-03-29,skuta,,45.0
lidl,2014-03-29,kava Minas,,55.0
lidl,2014-03-29,ananas po super ceni,,19.0
hofer,2014-03-30,sveža Jadranska orada po akcijski ceni,,99.0
hofer,2014-03-30,Slovenska jabolka Zlati delišes po akcijski ceni,,79.0
hofer,2014-03-30,Piščančje coctail hrenovke iz hladilnika,,79.0
hofer,2014-03-30,Piščančji zrezki iz hladilnika,,79.0
hofer,2014-03-30,Pelargonije različnih barv po super ceni,,99.0
hofer,2014-03-30,Balkonsko cvetje različnih vrst,,99.0
hofer,2014-03-30,sveža Jadranska orada po akcijski ceni,,99.0
hofer,2014-03-30,Slovenska jabolka Zlati delišes po akcijski ceni,,79.0
hofer,2014-03-30,Piščančje coctail hrenovke iz hladilnika,,79.0
hofer,2014-03-30,Piščančji zrezki iz hladilnika,,79.0
hofer,2014-03-30,Pelargonije različnih barv po super ceni,,99.0
hofer,2014-03-30,Balkonsko cvetje različnih vrst,,99.0
lidl,2014-03-30,paradižnik roma,,89.0
lidl,2014-03-30,piščančja bedra,,69.0
lidl,2014-03-30,svinjski vrat brez kosti,,39.0
lidl,2014-03-30,hruška,,19.0
lidl,2014-03-30,mehki sir,,11.0
lidl,2014-03-30,štručka z olivami,,39.0
lidl,2014-03-30,posebna klobasa Poetovi,,99.0
lidl,2014-03-30,paradižnik roma,,89.0
lidl,2014-03-30,piščančja bedra,,69.0
lidl,2014-03-30,svinjski vrat brez kosti,,39.0
lidl,2014-03-30,hruška,,19.0
lidl,2014-03-30,mehki sir,,11.0
lidl,2014-03-30,štručka z olivami,,39.0
lidl,2014-03-30,posebna klobasa Poetovi,,99.0
mercator,2014-03-31,Mercator akcija Mercator akcija,,30.0
mercator,2014-03-31,Mercator akcija Mercator akcija,,30.0
