ID;Store;Date;Price (€);Product Name
1;Hofer;2025-05-31;3.79;Svinjsko stegno
2;Hofer;2025-05-31;2.99;Tigraste kozice (250 g)
3;Hofer;2025-05-31;3.49;Piščančja krila (1 kg)
4;Hofer;2025-05-31;3.69;Piščančji čevapčiči in pleskavice xxl (600 g = 425 g + 175 g )
5;Hofer;2025-05-31;3.69;Uštipci na palčki (600 g)
6;Hofer;2025-05-31;5.99;Rebra st. louis (marinirana)
7;Hofer;2025-05-31;5.49;File norveškega lososa (300 g)
8;Hofer;2025-05-31;2.99;Puranje kocke (500 g)
9;Hofer;2025-05-31;7.99;Marinirana slanina za žar
10;Hofer;2025-05-31;3.89;Piščančji ražnjiči (450 g)
11;Hofer;2025-05-31;4.29;Dimljeni losos (200 g)
12;Hofer;2025-05-31;2.49;Arašidi jumbo praženi in slani (500 g)
13;Hofer;2025-05-31;2.79;Šamrole (120 g)
14;Hofer;2025-05-31;2.49;Pistacije pražene in soljene ali nesoljene (250 g)
15;Hofer;2025-05-31;3.89;Prosecco treviso doc (075 l)
16;Hofer;2025-05-31;3.59;Domača salama (400 g)
17;Hofer;2025-05-31;5.19;Bučno olje (05 l)
18;Hofer;2025-05-31;1.19;Mlečna rezina (6 x 28 g)
19;Hofer;2025-05-31;0.99;Kruh korenina (300 g)
20;Hofer;2025-05-31;1.49;Testenine peresniki (1 kg)
21;Hofer;2025-05-31;1.75;Vanilijevi rogljički (400 g)
22;Hofer;2025-05-31;1.49;Marelični džem (750 g)
23;Hofer;2025-05-31;1.49;Vinogradniške breskve (500 g)
24;Hofer;2025-05-31;1.89;Slovenski paradižnik miks lušt (200 g)
25;Lidl;2025-05-31;5.99;Svež odojek v kosih 1kg
26;Lidl;2025-05-31;4.39;Dulano trojni narezek 500g
27;Lidl;2025-05-31;0.79;Paradižnik roma 500g
28;Lidl;2025-05-31;1.09;Delamaris skuša 125g več vrst -50 na drugi kos
29;Lidl;2025-05-31;1.29;Crownfield kosmiči z medom honey hoops 500g
30;Lidl;2025-05-31;2.29;Pld spice dezodorant v stiku cena za drugi kos z lidl plus
31;Lidl;2025-05-31;5.49;Sondey mešani keksi 1kg
32;Lidl;2025-05-31;2.29;Parkside komplet loncev za zelišča 4 delni
33;Lidl;2025-05-31;4.99;Lupilu otroške funkcijske hlače
34;Lidl;2025-05-31;10.99;Zaščitna gozdarska čelada
35;Eurospin;2025-05-31;5.99;Rumeni krompir pakiran 10kg
36;Eurospin;2025-05-31;3.79;Piščančji krožnik za žar 1kg
37;Eurospin;2025-05-31;0.49;Flips z okusom sira 125g
38;Eurospin;2025-05-31;0.99;Bio mandljev napitek brez dodanega sladkorja 1l 169e zdaj
39;Eurospin;2025-05-31;4.99;Papirnate brisače 3 slojne 8 rol
40;Eurospin;2025-05-31;19.99;Senčno jadro
41;Eurospin;2025-05-31;14.99;Vrtni podaljšek 10m
42;Mercator;2025-05-31;4.69;Piknik plošča pp weekend perutnina ptuj 1kg
43;Mercator;2025-05-31;0.89;Trajno polnomastno mleko mercator 35 m.m. 1l
44;Mercator;2025-05-31;1.59;Olje zvijezda sonično 1l
45;Mercator;2025-05-31;2.79;Sirup pingo mešano sadje 1l
46;Mercator;2025-05-31;1.99;Papirnate brisače paloma multi fun bele 2 slojne 100 lističev 2/1
47;Hofer;2025-05-24;3.49;Piščančja bedra brez kosti (s kožo)
48;Hofer;2025-05-24;6.49;Goveje mleto meso (koščki 1 kg)
49;Hofer;2025-05-24;3.29;Piščančji medaljoni (400 g)
50;Hofer;2025-05-24;4.49;Piščančji ražnjiči xxl (450 g + 150 g )
51;Hofer;2025-05-24;4.99;Piščančji mini file xxl (610 g + 390 g )
52;Hofer;2025-05-24;4.99;Čevapčiči (celjske mesnine 1100 g)
53;Hofer;2025-05-24;8.49;Slovenska postrv (šarenka)
54;Hofer;2025-05-24;4.99;Losos za žar (korzika / toskana / s poprom 250 g)
55;Hofer;2025-05-24;3.99;Burger z angus govedino (celjske mesnine 400 g)
56;Hofer;2025-05-24;3.19;Žar klobase (s sirom parvita 400 g)
57;Hofer;2025-05-24;7.99;Dimljena panceta
58;Hofer;2025-05-24;0.99;Piščančja posebna salama (200 g)
59;Hofer;2025-05-24;1.59;Navadna klobasa (500 g)
60;Hofer;2025-05-24;1.49;Veganski namaz myvay (150 g)
61;Hofer;2025-05-24;0.93;Coca-cola / sprite / fanta zero (15 l)
62;Hofer;2025-05-24;2.69;Laški rizling (1 l)
63;Hofer;2025-05-24;9.99;Prekajeni poltrdi sir traunsteiner (milfina)
64;Hofer;2025-05-24;0.79;Puding flecki (2 x 125 g)
65;Hofer;2025-05-24;1.12;Premium sladoled mucci (25 l)
66;Hofer;2025-05-24;1.19;Babičin koruzni kruh (400 g)
67;Hofer;2025-05-24;2.19;Hrustljavi vaflji / rižoplatanke / tortice (400 g)
68;Hofer;2025-05-24;0.99;Motovilec (125 g)
69;Hofer;2025-05-24;3.99;Letalski ananas
70;Hofer;2025-05-24;1.19;Smiling bear (slani prigrizki 150 g)
71;Lidl;2025-05-24;12.99;Sveže jagnje v kosih 1kg
72;Lidl;2025-05-24;1.19;Pizza šunka baroni (200 g)
73;Lidl;2025-05-24;1.39;Mini lubenica 1kg
74;Lidl;2025-05-24;0.79;Chef select & vou bageta (več vrst) 175g
75;Lidl;2025-05-24;1.19;Tortelloni več vrst (400 g)
76;Lidl;2025-05-24;0.69;Ribana kaša 500g
77;Lidl;2025-05-24;0.49;Monster 500ml
78;Lidl;2025-05-24;2.69;Bellarom instant kava crema 160g
79;Lidl;2025-05-24;0.99;W5 čistilo za odstranjevanje vodnega kamna 750ml
80;Lidl;2025-05-24;2.99;Crivit moške nogavice za pohodništvo 2 para
81;Lidl;2025-05-24;7.99;Crivit ženski nizki dežni škornji
82;Lidl;2025-05-24;9.99;Parkside pihalnik za vroči zrak
83;Eurospin;2025-05-24;5.99;Rumena čebula pakirana 10kg
84;Eurospin;2025-05-24;6.59;Marinirana svinjska rebrca 1kg
85;Eurospin;2025-05-24;2.25;Barjene perurninske klobase 12 kosov 1kg
86;Eurospin;2025-05-24;0.19;Naravna voda 15l
87;Eurospin;2025-05-24;1.19;Osvežilec za wc školjko belilo / cvetje 2 kosa
88;Eurospin;2025-05-24;11.99;Mehanska osebna tehtnica
89;Eurospin;2025-05-24;26.99;Otroški kovlek ride on več vrst
90;Spar;2025-05-24;251.1;Pralni stroj candy 30
91;Mercator;2025-05-24;0.87;Špageti barilla št.5 500g
92;Mercator;2025-05-24;1.29;Pijača coca cola ali fanta 15l
93;Hofer;2025-05-17;5.49;File zlatovčice (400 g)
94;Hofer;2025-05-17;7.39;Očiščeni lignji bbq (500 g)
95;Hofer;2025-05-17;4.49;Piščančji kebab ražnjiči (450 g)
96;Hofer;2025-05-17;2.29;Piščančja bedra brez kosti in kože (500 g)
97;Hofer;2025-05-17;3.79;Sveži piščanec (perutnina ptuj)
98;Hofer;2025-05-17;2.99;Puranje čevapčiči / pleskavice (400 g)
99;Hofer;2025-05-17;4.89;Klobasa za žar (anton pikantna 450 g)
100;Hofer;2025-05-17;5.79;Goveja rebra (kos)
101;Hofer;2025-05-17;21.99;Telečji tomahawk (kos)
102;Hofer;2025-05-17;5.09;Pripravek iz mletega mešanega mesa (1 kg)
103;Hofer;2025-05-17;1.49;Gouda topljeni sir v lističih (250 g)
104;Hofer;2025-05-17;0.99;Topi mlečni desert z lešniki (4 x 100 g)
105;Hofer;2025-05-17;0.89;Mlečna čokolada choceur (100 g)
106;Hofer;2025-05-17;1.19;Fileti tune v lastnem soku (195 g)
107;Hofer;2025-05-17;1.09;Salama milano (150 g)
108;Hofer;2025-05-17;1.29;Trajni narezek – kraljevska salama ali kulen (100 g)
109;Hofer;2025-05-17;0.59;Bio rdeči fižol (400 g)
110;Hofer;2025-05-17;1.29;Kruh z drožmi (400 g)
111;Hofer;2025-05-17;0.99;Čips snack fun all natural (150 g)
112;Hofer;2025-05-17;0.69;Premium svetlo pivo bergkönig (05 l)
113;Hofer;2025-05-17;0.69;Bio ledeni čaj (granatno jabolko ali limona 05 l)
114;Hofer;2025-05-17;4.59;Bio olivno olje (500 ml)
115;Hofer;2025-05-17;0.99;Bučke (1 kg)
116;Hofer;2025-05-17;1.49;Belo grozdje brez pečk (500 g)
117;Lidl;2025-05-17;1.79;Sveže pleskavice 450g
118;Lidl;2025-05-17;0.99;Pilos navadni jogurt čvrsti 32 m.m. 900g
119;Lidl;2025-05-17;3.99;Culinea piščančji zrezki 700g
120;Lidl;2025-05-17;1.49;Češnjev pradižnik v grozdu 500g
121;Lidl;2025-05-17;1.99;Mister choc kremni namaz 750g
122;Lidl;2025-05-17;1.39;Breskov kompot 850ml
123;Lidl;2025-05-17;0.34;Elderflower brezalkoholni radler 500ml -50 na drugi kos
124;Lidl;2025-05-17;2.49;Saguaro voda z okusom več vrst 6 x 15l
125;Lidl;2025-05-17;7.69;Čevlji za malčke
126;Lidl;2025-05-17;9.99;Parkside izbor nastavkov za visokotlačne čistilnike
127;Lidl;2025-05-17;23.99;Komplet za rezanje navojev 6 delni
128;Mercator;2025-05-17;2.39;Mleto mešano meso 450g
129;Mercator;2025-05-17;2.99;Pivo mercatoe 6 x 05l
130;Eurospin;2025-05-17;1.09;Banane 1kg
131;Eurospin;2025-05-17;2.49;Piščančje krače in stegna 800g
132;Eurospin;2025-05-17;1.29;Slanina rezine 150g
133;Eurospin;2025-05-17;0.89;Panirani žepki z mocarelo in šunko / paradižnikom /gobami 4 kosi
134;Eurospin;2025-05-17;1.89;60 dnevna nagrobna elektronska ekosveča solza
135;Eurospin;2025-05-17;159.99;275 palčno gorsko kolo
136;Eurospin;2025-05-17;29.99;Električni rezalnik zelenjave
137;Hofer;2025-05-10;2.19;File soma (300 g)
138;Hofer;2025-05-10;1.99;Piščančje mleto meso (400 g)
139;Hofer;2025-05-10;2.99;Piščančje krače (1 kg)
140;Hofer;2025-05-10;7.99;Teletina za pod peko (na kg)
141;Hofer;2025-05-10;2.99;Svinjski laks kare zrezki (380 g + 120 g )
142;Hofer;2025-05-10;3.99;Začinjeni piščančji zrezki (tahito pikantni 400 g)
143;Hofer;2025-05-10;2.99;Sveži piščanec (z obema dodatnima bedroma)
144;Hofer;2025-05-10;4.79;Svinjsko pleče v kosu (na kg)
145;Hofer;2025-05-10;4.29;Očiščeni lignji (500 g)
146;Hofer;2025-05-10;2.49;Svinjski kare s kostjo (500 g)
147;Hofer;2025-05-10;4.29;Prekmurska gibanica (550 g)
148;Hofer;2025-05-10;2.79;Piščančje prsi v ovitku (400 g)
149;Hofer;2025-05-10;8.99;Originalni italijanski pršut (na kg)
150;Hofer;2025-05-10;5.29;Prekajena svinjska rebra
151;Hofer;2025-05-10;2.19;Granny’s džem (marelica ali jagoda 400 g)
152;Hofer;2025-05-10;1.99;Safalada (450 g)
153;Hofer;2025-05-10;5.99;Mamia plenice (vel. 5 44 kosov)
154;Hofer;2025-05-10;0.69;Mozzarella (navadna ali lahka 125 g)
155;Hofer;2025-05-10;1.49;Arašidi praženi v lupini (400 g)
156;Hofer;2025-05-10;0.69;Bela štruca (500 g)
157;Hofer;2025-05-10;1.49;Maline (125 g)
158;Hofer;2025-05-10;2.29;Rozine v mlečni/temni čokoladi (400 g)
159;Hofer;2025-05-10;0.25;Flying power energijska pijača (025 l)
160;Hofer;2025-05-10;1.89;Slovenski paradižnik miks lušt (200 g)
161;Lidl;2025-05-10;3.19;Piščančji prsni fileji 500g
162;Lidl;2025-05-10;2.39;Pikok piščančje prsi 400g
163;Lidl;2025-05-10;0.85;Pikok delikatesna slanina 100g
164;Lidl;2025-05-10;0.99;Banane 1kg
165;Lidl;2025-05-10;0.99;V guard otroško razkužilo za roke 100ml
