Title;Date;Price (€);Product Name
Hofer vikend akcija do 31.5.;31.05.2025.;3.79;Svinjsko stegno
Hofer vikend akcija do 31.5.;31.05.2025.;2.99;Tigraste kozice (250 g)
Hofer vikend akcija do 31.5.;31.05.2025.;3.49;Piščančja krila (1 kg)
Hofer vikend akcija do 31.5.;31.05.2025.;3.69;Piščančji čevapčiči in pleskavice XXL (600 g = 425 g + 175 g gratis)
Hofer vikend akcija do 31.5.;31.05.2025.;3.69;Uštipci na palčki (600 g)
Hofer vikend akcija do 31.5.;31.05.2025.;5.99;Rebra St. Louis (marinirana)
Hofer vikend akcija do 31.5.;31.05.2025.;5.49;File norveškega lososa (300 g)
Hofer vikend akcija do 31.5.;31.05.2025.;2.99;Puranje kocke (500 g)
Hofer vikend akcija do 31.5.;31.05.2025.;7.99;Marinirana slanina za žar
Hofer vikend akcija do 31.5.;31.05.2025.;3.89;Piščančji ražnjiči (450 g)
Hofer vikend akcija do 31.5.;31.05.2025.;4.29;Dimljeni losos (200 g)
Hofer vikend akcija do 31.5.;31.05.2025.;2.49;Arašidi Jumbo praženi in slani (500 g)
Hofer vikend akcija do 31.5.;31.05.2025.;2.79;Šamrole (120 g)
Hofer vikend akcija do 31.5.;31.05.2025.;2.49;Pistacije pražene in soljene ali nesoljene (250 g)
Hofer vikend akcija do 31.5.;31.05.2025.;3.89;Prosecco Treviso DOC (0,75 l)
Hofer vikend akcija do 31.5.;31.05.2025.;3.59;Domača salama (400 g)
Hofer vikend akcija do 31.5.;31.05.2025.;5.19;Bučno olje (0,5 l)
Hofer vikend akcija do 31.5.;31.05.2025.;1.19;Mlečna rezina (6 x 28 g)
Hofer vikend akcija do 31.5.;31.05.2025.;0.99;Kruh Korenina (300 g)
Hofer vikend akcija do 31.5.;31.05.2025.;1.49;Testenine Peresniki (1 kg)
Hofer vikend akcija do 31.5.;31.05.2025.;1.75;Vanilijevi rogljički (400 g)
Hofer vikend akcija do 31.5.;31.05.2025.;1.49;Marelični džem (750 g)
Hofer vikend akcija do 31.5.;31.05.2025.;1.49;Vinogradniške breskve (500 g)
Hofer vikend akcija do 31.5.;31.05.2025.;1.89;Slovenski paradižnik miks Lušt (200 g)
Lidl vikend akcija do 31.5.;31.05.2025.;5.99;Svež odojek v kosih 1kg
Lidl vikend akcija do 31.5.;31.05.2025.;4.39;Dulano trojni narezek 500g, namesto
Lidl vikend akcija do 31.5.;31.05.2025.;0.79;Paradižnik Roma 500g, namesto
Lidl vikend akcija do 31.5.;31.05.2025.;1.09;Delamaris skuša 125g, več vrst -50% na drugi kos, namesto
Lidl vikend akcija do 31.5.;31.05.2025.;0.8;Kinder Bueno White 39g 2+1 gratis, cena za kos ob nakupu 3 kosov
Lidl vikend akcija do 31.5.;31.05.2025.;1.29;Crownfield kosmiči z medom Honey Hoops 500g, namesto
Lidl vikend akcija do 31.5.;31.05.2025.;2.29;Pld Spice dezodorant v stiku, cena za drugi kos z Lidl Plus, namesto
Lidl vikend akcija do 31.5.;31.05.2025.;5.49;Sondey mešani keksi 1kg, namesto
Lidl vikend akcija do 31.5.;31.05.2025.;2.29;Parkside komplet loncev za zelišča, 4 delni namesto
Lidl vikend akcija do 31.5.;31.05.2025.;4.99;Lupilu otroške funkcijske hlače, namesto
Lidl vikend akcija do 31.5.;31.05.2025.;10.99;Zaščitna gozdarska čelada, namesto
Spar in Interspar vikend akcija do 31.5.;31.05.2025.;20.0;Petek 30.05. dan za upokojenice 10% popust ob nakupu nad
Spar in Interspar vikend akcija do 31.5.;31.05.2025.;30.0;Od petka 30.05. do sobote 31.05.2025 kupon za 10% popust na celoten nakup, ob nakupu nad
Eurospin vikend norih cen do 31.5.;31.05.2025.;5.99;Rumeni krompir, pakiran 10kg
Eurospin vikend norih cen do 31.5.;31.05.2025.;3.79;Piščančji krožnik za žar, 1kg namesto
Eurospin vikend norih cen do 31.5.;31.05.2025.;0.49;Flips z okusom sira 125g, namesto
Eurospin vikend norih cen do 31.5.;31.05.2025.;0.99;Bio mandljev napitek brez dodanega sladkorja 1l, namesto 1,69e zdaj
Eurospin vikend norih cen do 31.5.;31.05.2025.;4.99;Papirnate brisače, 3 slojne, 8 rol
Eurospin vikend norih cen do 31.5.;31.05.2025.;19.99;Senčno jadro
Eurospin vikend norih cen do 31.5.;31.05.2025.;14.99;Vrtni podaljšek 10m
Mercator vikend akcija do 31.5.;31.05.2025.;4.69;Piknik plošča PP Weekend, Perutnina Ptuj 1kg namesto
Mercator vikend akcija do 31.5.;31.05.2025.;2.49;Cordon bleu, sveži, paniran, pakiran 250g, panirani sveži piščančji medaljoni ali piščančji zrezki 300g, namesto
Mercator vikend akcija do 31.5.;31.05.2025.;0.89;Trajno polnomastno mleko Mercator, 3,5% m.m. 1l, namesto
Mercator vikend akcija do 31.5.;31.05.2025.;1.59;Olje Zvijezda, sonično 1l, namesto
Mercator vikend akcija do 31.5.;31.05.2025.;2.79;Sirup Pingo, mešano sadje 1l, namesto
Mercator vikend akcija do 31.5.;31.05.2025.;1.99;Papirnate brisače Paloma, Multi Fun, bele, 2 slojne, 100 lističev, 2/1, namesto
Mercator vikend akcija do 31.5.;31.05.2025.;30.0;In petek 230.05. ali soboto 31.05. 25% popust na izdelek po izbiri ob nakupu preostalega dela košarice nad 5€ ali 10% popust na celoten nakup ob nakupu nad
Hofer vikend akcija do 24.5.;24.05.2025.;3.49;Piščančja bedra brez kosti (s kožo)
Hofer vikend akcija do 24.5.;24.05.2025.;6.49;Goveje mleto meso (koščki, 1 kg)
Hofer vikend akcija do 24.5.;24.05.2025.;3.29;Piščančji medaljoni (400 g)
Hofer vikend akcija do 24.5.;24.05.2025.;4.49;Piščančji ražnjiči XXL (450 g + 150 g gratis)
Hofer vikend akcija do 24.5.;24.05.2025.;4.99;Piščančji mini file XXL (610 g + 390 g gratis)
Hofer vikend akcija do 24.5.;24.05.2025.;4.99;Čevapčiči (Celjske mesnine, 1100 g)
Hofer vikend akcija do 24.5.;24.05.2025.;8.49;Slovenska postrv (šarenka)
Hofer vikend akcija do 24.5.;24.05.2025.;4.99;Losos za žar (korzika / toskana / s poprom, 250 g)
Hofer vikend akcija do 24.5.;24.05.2025.;3.99;Burger z Angus govedino (Celjske mesnine, 400 g)
Hofer vikend akcija do 24.5.;24.05.2025.;3.19;Žar klobase (s sirom, Parvita, 400 g)
Hofer vikend akcija do 24.5.;24.05.2025.;7.99;Dimljena panceta
Hofer vikend akcija do 24.5.;24.05.2025.;0.99;Piščančja posebna salama (200 g)
Hofer vikend akcija do 24.5.;24.05.2025.;1.59;Navadna klobasa (500 g)
Hofer vikend akcija do 24.5.;24.05.2025.;1.49;Veganski namaz MyVay (150 g)
Hofer vikend akcija do 24.5.;24.05.2025.;0.93;Coca-Cola / Sprite / Fanta Zero (1,5 l)
Hofer vikend akcija do 24.5.;24.05.2025.;2.69;Laški rizling (1 l)
