ID;Store;Date;Price (€);Product Name;Product Name Cleaned;Product Name Grouped
1;Spar;2025-05-20;3.24;Hrenovke hot dog brez ovoja pakirano panvita xxl 520g 1+1;Hrenovke hot dog brez ovoja panvita xxl 1+1;Hrenovke
2;Spar;2025-05-20;3.49;Prve slovenske jagode 500g;Prve slovenske jagode;40 jagode
3;Spar;2025-05-20;1.99;Slovenska solata gentile kristalka 1kg;Slovenska solata gentile kristalka;Slovenska solata živa
4;Spar;2025-05-20;2.99;Krompir pakirano 35g;Krompir;Krompir
5;Spar;2025-05-13;0.99;Slovenska jabolka zlatni delišes 1kg;Slovenska jabolka zlatni delišes;Slovenska jabolka
6;Spar;2025-05-13;1.99;Slovenska solata kristalka gentile 1kg;Slovenska solata kristalka gentile;Slovenska solata živa
7;Spar;2025-05-13;4.99;Slovenski zeleni šparglji 500g;Slovenski zeleni šparglji;Slovenski por
8;Spar;2025-05-06;3.49;Piščančje prsi file ik 500g;Piščančje prsi file ik;Piščančji file
9;Spar;2025-05-06;0.99;Slovenska jabolka idared;Slovenska jabolka idared;Slovenska jabolka
10;Spar;2025-05-06;0.69;Mladi krompir 1kg;Mladi krompir;Bio krompir
11;Spar;2025-04-29;1.99;Paradižnik grapolo 1kg;Paradižnik grapolo;Paradižnik
12;Spar;2025-04-29;1.29;Mlado zelje 1kg;Mlado zelje;Belo zelje
13;Spar;2025-04-29;1.49;Lubenica 1kg;Lubenica;Lubenica
14;Spar;2025-04-22;3.99;Instant napitek cedevita več okusov 455g;Instant napitek cedevita več okusov;Instant napitek cedevita
15;Spar;2025-04-22;1.49;Slivov paradižnik v lončku 500g;Slivov paradižnik v lončku;Bio paradižnik
16;Spar;2025-04-22;1.29;Korenje 1kg;Korenje;Korenje
17;Spar;2025-04-22;1.49;Slovenska jabolka topaz 1kg;Slovenska jabolka topaz;Slovenska jabolka
18;Spar;2025-04-15;1.29;Mlado zelje 1kg;Mlado zelje;Belo zelje
19;Spar;2025-04-15;2.99;Krompir pakiran 35kg;Krompir;Krompir
20;Spar;2025-04-15;0.99;Slovenske jabolke idared 1kg;Slovenske jabolke idared;Slovenske jabolke idared
21;Spar;2025-04-08;1.69;Hruške viljamovke 1kg;Hruške viljamovke;Hruške
22;Spar;2025-04-08;0.99;Slovenska jabolka zlatni delišes 1kg;Slovenska jabolka zlatni delišes;Slovenska jabolka
23;Spar;2025-04-08;0.99;Nio matovilec 100g;Nio matovilec;Nio matovilec
24;Spar;2025-04-01;1.49;Slovenska jabolka topaz 1kg;Slovenska jabolka topaz;Slovenska jabolka
25;Spar;2025-04-01;1.49;Pomaranče natalia 1kg;Pomaranče natalia;Pomaranče
26;Spar;2025-04-01;0.79;Matovilec 100g;Matovilec;Matovilec
27;Spar;2025-03-25;1.19;Slovenska jabolka cripps pink 1kg;Slovenska jabolka cripps pink;Jabolka cripps pink
28;Spar;2025-03-25;0.89;Bio limone pakirano 500g;Bio limone;Bio limone
29;Spar;2025-03-25;1.79;Bio brokoli 500g;Bio brokoli;Brokoli
30;Spar;2025-03-25;2.49;Šopki od;Šopki od;Šopki od
31;Spar;2025-03-18;0.99;Pomaranče 1kg;Pomaranče;Pomaranče
32;Spar;2025-03-18;0.99;Slovenska jabolka idared 1kg;Slovenska jabolka idared;Slovenska jabolka
33;Spar;2025-03-18;0.79;Mlada špinača pakirano 100g;Mlada špinača;Mlada špinača
35;Spar;2025-03-11;3.99;Zeleni špaglji pakirano 420g;Zeleni špaglji;Zeleni čaj
36;Spar;2025-03-11;1.69;Hruške viljamovke 1kg;Hruške viljamovke;Hruške
37;Spar;2025-03-11;2.99;Rdeče grozdje 1kg;Rdeče grozdje;Rdeče grozdje
38;Spar;2025-03-04;3.39;Pivo pittinger schankbier svetlo 42 alk. pločevinke 6 x 05l;Pivo pittinger schankbier svetlo 42 alk. pločevinke 6 x;Pivo
