Title;Date;Price (€);Product Name
Spar;20.05.2025.;3.24;Hrenovke Hot Dog brez ovoja, pakirano, Panvita XXL 520g 1+1 gratis
Spar;20.05.2025.;3.49;Prve slovenske jagode, 500g
Spar;20.05.2025.;1.99;Slovenska solata gentile kristalka 1kg
Spar;20.05.2025.;2.99;Krompir pakirano 3,5g
Spar;13.05.2025.;0.99;Slovenska jabolka Zlatni delišes 1kg
Spar;13.05.2025.;1.99;Slovenska solata kristalka Gentile 1kg
Spar;13.05.2025.;4.99;Slovenski zeleni šparglji 500g
Spar;06.05.2025.;3.49;Piščančje prsi file IK 500g namesto
Spar;06.05.2025.;0.99;Slovenska jabolka Idared, namesto
Spar;06.05.2025.;0.69;Mladi krompir 1kg namesto
Spar;29.04.2025.;1.99;Paradižnik Grapolo 1kg, namesto
Spar;29.04.2025.;1.29;Mlado zelje 1kg, namesto
Spar;29.04.2025.;1.49;Lubenica 1kg, namesto
Spar;22.04.2025.;3.99;Instant napitek Cedevita, več okusov 455g, namesto
Spar;22.04.2025.;1.49;Slivov paradižnik v lončku 500g, namesto
Spar;22.04.2025.;1.29;Korenje 1kg, namesto
Spar;22.04.2025.;1.49;Slovenska jabolka Topaz 1kg, namesto
Spar;15.04.2025.;1.29;Mlado zelje 1kg, namesto
Spar;15.04.2025.;2.99;Krompir, pakiran 3,5kg
Spar;15.04.2025.;0.99;Slovenske jabolke idared 1kg, namesto
Spar;08.04.2025.;1.69;Hruške Viljamovke 1kg
Spar;08.04.2025.;0.99;Slovenska jabolka Zlatni delišes 1kg
Spar;08.04.2025.;0.99;Nio matovilec 100g
Spar;01.04.2025.;1.49;Slovenska jabolka Topaz 1kg, namesto
Spar;01.04.2025.;1.49;Pomaranče Natalia 1kg, namesto
Spar;01.04.2025.;0.79;Matovilec 100g, namesto
Spar;25.03.2025.;1.19;Slovenska jabolka cripps pink 1kg, namesto
Spar;25.03.2025.;0.89;Bio limone, pakirano 500g, namesto
Spar;25.03.2025.;1.79;Bio brokoli 500g, namesto
Spar;25.03.2025.;2.49;Šopki od
Spar;18.03.2025.;0.99;Pomaranče 1kg, namesto
Spar;18.03.2025.;0.99;Slovenska jabolka Idared 1kg, namesto
Spar;18.03.2025.;0.79;Mlada špinača, pakirano 100g, namesto
Spar;11.03.2025.;9.99;Mortadela klasika, postrežno 1kg, namesto
Spar;11.03.2025.;3.99;Zeleni špaglji, pakirano 420g namesto
Spar;11.03.2025.;1.69;Hruške viljamovke 1kg, namesto
Spar;11.03.2025.;2.99;Rdeče grozdje 1kg, namesto
Spar;04.03.2025.;3.39;Pivo Pittinger Schankbier, svetlo 4,2% alk., pločevinke 6 x 0,5l namesto
Spar;04.03.2025.;1.49;Pomaranče Natalia 1kg, namesto
Spar;04.03.2025.;1.09;Slovenska jabolka Elstar 1kg, namesto
Spar;04.03.2025.;0.79;Brokoli, pakiran 500g, namesto
Spar;25.02.2025.;8.49;Olje Zvezda 5l
Spar;25.02.2025.;1.29;Rdeče pomaranče 1kg
Spar;25.02.2025.;1.19;Slovenska jabolka Gala 1kg
Spar;25.02.2025.;0.89;Bio mlada špinača 100g
Spar;18.02.2025.;1.49;Pomaranče Natalia 1kg namesto
Spar;18.02.2025.;1.49;Slovenska jabolka Topaz 1kg, namesto
Spar;18.02.2025.;1.99;Solata gentile 1kg, namesto
Spar;11.02.2025.;9.99;Frankfurter xxl postrežno AVE 1kg, namesto
Spar;11.02.2025.;1.99;Kisla repa, pakirano 1kg, namesto
Spar;11.02.2025.;1.19;Slovenska jabolka Gala 1kg, namesto
Spar;11.02.2025.;2.49;Borovnice, pakirano 300g, namesto
Spar;04.02.2025.;0.89;Bio rukola, pakirano 100g
